Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2025/12/28, 23:00:26, 0,0,0, 21001.25, 3, 1, 3, 0
2025/12/28, 23:00:27, 0,0,0, 21001.00, 1, 1, 1, 0
2025/12/28, 23:00:28, 0,0,0, 21000.75, 2, 1, 2, 0
2025/12/28, 23:00:29, 0,0,0, 21000.50, 4, 1, 4, 0
2025/12/28, 23:00:30, 0,0,0, 21000.25, 1, 1, 1, 0
2025/12/28, 23:00:31, 0,0,0, 21000.00, 3, 1, 3, 0
2025/12/28, 23:00:32, 0,0,0, 20999.75, 2, 1, 2, 0
2025/12/28, 23:00:33, 0,0,0, 20999.50, 1, 1, 1, 0
2025/12/28, 23:00:34, 0,0,0, 20999.25, 4, 1, 4, 0
2025/12/28, 23:00:35, 0,0,0, 20999.00, 2, 1, 2, 0
2025/12/28, 23:00:36, 0,0,0, 20998.75, 3, 1, 3, 0
2025/12/28, 23:00:37, 0,0,0, 20998.50, 1, 1, 1, 0
2025/12/28, 23:00:38, 0,0,0, 20998.25, 2, 1, 2, 0
2025/12/28, 23:00:39, 0,0,0, 20998.00, 4, 1, 4, 0
2025/12/28, 23:00:40, 0,0,0, 20997.75, 1, 1, 1, 0
2025/12/28, 23:00:41, 0,0,0, 20997.50, 3, 1, 3, 0
2025/12/28, 23:00:42, 0,0,0, 20997.25, 2, 1, 2, 0
2025/12/28, 23:00:43, 0,0,0, 20997.00, 1, 1, 1, 0
2025/12/28, 23:00:44, 0,0,0, 20996.75, 4, 1, 4, 0
2025/12/28, 23:00:45, 0,0,0, 20996.50, 2, 1, 2, 0
2025/12/28, 23:00:46, 0,0,0, 20996.25, 3, 1, 3, 0
2025/12/28, 23:00:47, 0,0,0, 20996.00, 1, 1, 1, 0
2025/12/28, 23:00:48, 0,0,0, 20995.75, 2, 1, 2, 0
2025/12/28, 23:00:49, 0,0,0, 20995.50, 4, 1, 4, 0
2025/12/28, 23:00:50, 0,0,0, 20995.25, 1, 1, 1, 0
2025/12/28, 23:00:51, 0,0,0, 20995.00, 3, 1, 3, 0
2025/12/28, 23:00:52, 0,0,0, 20994.75, 2, 1, 2, 0
2025/12/28, 23:00:53, 0,0,0, 20994.50, 1, 1, 1, 0
2025/12/28, 23:00:54, 0,0,0, 20994.25, 4, 1, 4, 0
2025/12/28, 23:00:55, 0,0,0, 20994.00, 2, 1, 2, 0
2025/12/28, 23:00:56, 0,0,0, 20993.75, 3, 1, 3, 0
2025/12/28, 23:00:57, 0,0,0, 20993.50, 1, 1, 1, 0
2025/12/28, 23:00:58, 0,0,0, 20993.25, 2, 1, 2, 0
2025/12/28, 23:00:59, 0,0,0, 20993.00, 4, 1, 4, 0
2025/12/28, 23:01:00, 0,0,0, 20992.75, 1, 1, 1, 0
2025/12/28, 23:01:01, 0,0,0, 20992.50, 3, 1, 3, 0
2025/12/28, 23:01:02, 0,0,0, 20992.25, 2, 1, 2, 0
2025/12/28, 23:01:03, 0,0,0, 20992.00, 1, 1, 1, 0
2025/12/28, 23:01:04, 0,0,0, 20991.75, 4, 1, 4, 0
2025/12/28, 23:01:05, 0,0,0, 20991.50, 2, 1, 2, 0
2025/12/28, 23:01:06, 0,0,0, 20991.25, 3, 1, 3, 0
2025/12/28, 23:01:07, 0,0,0, 20991.00, 1, 1, 1, 0
2025/12/28, 23:01:08, 0,0,0, 20990.75, 2, 1, 2, 0
2025/12/28, 23:01:09, 0,0,0, 20990.50, 4, 1, 4, 0
2025/12/28, 23:01:10, 0,0,0, 20990.25, 1, 1, 1, 0
2025/12/28, 23:01:11, 0,0,0, 20990.00, 3, 1, 3, 0
2025/12/28, 23:01:12, 0,0,0, 20989.75, 2, 1, 2, 0
2025/12/28, 23:01:13, 0,0,0, 20989.50, 1, 1, 1, 0
2025/12/28, 23:01:14, 0,0,0, 20989.25, 4, 1, 4, 0
2025/12/28, 23:01:15, 0,0,0, 20989.00, 2, 1, 2, 0
2025/12/28, 23:01:16, 0,0,0, 20988.75, 3, 1, 3, 0
2025/12/28, 23:01:17, 0,0,0, 20988.50, 1, 1, 1, 0
2025/12/28, 23:01:18, 0,0,0, 20988.25, 2, 1, 2, 0
2025/12/28, 23:01:19, 0,0,0, 20988.00, 4, 1, 4, 0
2025/12/28, 23:01:20, 0,0,0, 20987.75, 1, 1, 1, 0
2025/12/28, 23:01:21, 0,0,0, 20987.50, 3, 1, 3, 0
2025/12/28, 23:01:22, 0,0,0, 20987.25, 2, 1, 2, 0
2025/12/28, 23:01:23, 0,0,0, 20987.00, 1, 1, 1, 0
2025/12/28, 23:01:24, 0,0,0, 20986.75, 4, 1, 4, 0
2025/12/28, 23:01:25, 0,0,0, 20986.50, 2, 1, 2, 0
2025/12/28, 23:01:26, 0,0,0, 20986.25, 3, 1, 3, 0
2025/12/28, 23:01:27, 0,0,0, 20986.00, 1, 1, 1, 0
2025/12/28, 23:01:28, 0,0,0, 20985.75, 2, 1, 2, 0
2025/12/28, 23:01:29, 0,0,0, 20985.50, 4, 1, 4, 0
2025/12/28, 23:01:30, 0,0,0, 20985.25, 1, 1, 1, 0
2025/12/28, 23:01:31, 0,0,0, 20985.00, 3, 1, 3, 0
2025/12/28, 23:01:32, 0,0,0, 20984.75, 2, 1, 2, 0
2025/12/28, 23:01:33, 0,0,0, 20984.50, 1, 1, 1, 0
2025/12/28, 23:01:34, 0,0,0, 20984.25, 4, 1, 4, 0
2025/12/28, 23:01:35, 0,0,0, 20984.00, 2, 1, 2, 0
2025/12/28, 23:01:36, 0,0,0, 20983.75, 3, 1, 3, 0
2025/12/28, 23:01:37, 0,0,0, 20983.50, 1, 1, 1, 0
2025/12/28, 23:01:38, 0,0,0, 20983.25, 2, 1, 2, 0
2025/12/28, 23:01:39, 0,0,0, 20983.00, 4, 1, 4, 0
2025/12/28, 23:01:40, 0,0,0, 20982.75, 1, 1, 1, 0
2025/12/28, 23:01:41, 0,0,0, 20982.50, 3, 1, 3, 0
2025/12/28, 23:01:42, 0,0,0, 20982.25, 2, 1, 2, 0
2025/12/28, 23:01:43, 0,0,0, 20982.00, 1, 1, 1, 0
2025/12/28, 23:01:44, 0,0,0, 20981.75, 4, 1, 4, 0
2025/12/28, 23:01:45, 0,0,0, 20981.50, 2, 1, 2, 0
2025/12/28, 23:01:46, 0,0,0, 20981.25, 3, 1, 3, 0
2025/12/28, 23:01:47, 0,0,0, 20981.00, 1, 1, 1, 0
2025/12/28, 23:01:48, 0,0,0, 20980.75, 2, 1, 2, 0
2025/12/28, 23:01:49, 0,0,0, 20980.50, 4, 1, 4, 0
2025/12/28, 23:01:50, 0,0,0, 20980.25, 1, 1, 1, 0
2025/12/28, 23:01:51, 0,0,0, 20980.00, 3, 1, 3, 0
2025/12/28, 23:01:52, 0,0,0, 20979.75, 2, 1, 2, 0
2025/12/28, 23:01:53, 0,0,0, 20979.50, 1, 1, 1, 0
2025/12/28, 23:01:54, 0,0,0, 20979.25, 4, 1, 4, 0
2025/12/28, 23:01:55, 0,0,0, 20979.00, 2, 1, 2, 0
2025/12/28, 23:01:56, 0,0,0, 20978.75, 3, 1, 3, 0
2025/12/28, 23:01:57, 0,0,0, 20978.50, 1, 1, 1, 0
2025/12/28, 23:01:58, 0,0,0, 20978.25, 2, 1, 2, 0
2025/12/28, 23:01:59, 0,0,0, 20978.00, 4, 1, 4, 0
